"filename", "language", "Dart", "YAML", "Markdown", "JSON", "HTML", "C++", "CMake", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 13, 7, 64
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\en_US.json", "JSON", 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 0, 0, 422
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\ur_PK.json", "JSON", 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 419
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_button.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_floating_action_button.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\more_option_button.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\premimum_button.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 100
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\build_custom_card.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\card_header_text.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\custom_app_bar.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\error_refresh_view.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\icon_with_text.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\label_text.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\profile_image.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\profile_network_image.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\refresh_indicator_view.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\card_text_input_field.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\form_label_text.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\password_input_field.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\search_text_input_field.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field_with_controller.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 97
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\main.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\app_user.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 80
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\date_range_model.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\expense\expense_model.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 103
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\expense\expense_type_model.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 42
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\general_model.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\income\income_model.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\onboarding_model.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\reminders\reminder_model.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\route\route_model.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\vehicle\vehicle_model.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_controller.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 72
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_view.dart", "Dart", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 124
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_controller.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_view.dart", "Dart", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 144
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 156
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_view.dart", "Dart", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 227
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_controller.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 117
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_view.dart", "Dart", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 276
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_controller.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_view.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 135
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_controller.dart", "Dart", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 43, 303
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_view.dart", "Dart", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21, 396
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_controller.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 67
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_view.dart", "Dart", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 201
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_controller.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 21, 201
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_view.dart", "Dart", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 391
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_controller.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_view.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 47
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_controller.dart", "Dart", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 192
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_view.dart", "Dart", 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 545
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_controller.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 102
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_view.dart", "Dart", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 200
