"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\assets\lang\en_US.json", "JSON", 0, 1, 0, 0, 1
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\assets\lang\ur_PK.json", "JSON", 0, 1, 0, 0, 1
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart", "Dart", 5, 0, 0, 0, 5
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_controller.dart", "Dart", 10, 0, 0, -1, 9
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\create\create_expense_view.dart", "Dart", 28, 0, 0, 0, 28
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_controller.dart", "Dart", 17, 0, 0, 1, 18
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\expense\update\update_expense_view.dart", "Dart", 19, 0, 0, 0, 19
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_controller.dart", "Dart", 10, 0, 0, -1, 9
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_view.dart", "Dart", 22, 0, 0, 0, 22
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_controller.dart", "Dart", 17, 0, 0, 1, 18
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_view.dart", "Dart", 19, 0, 0, 0, 19
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_controller.dart", "Dart", 10, 0, 0, -1, 9
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_view.dart", "Dart", 25, 0, 0, 0, 25
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_controller.dart", "Dart", 18, 0, 0, 2, 20
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_view.dart", "Dart", 22, 0, 0, 0, 22
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_controller.dart", "Dart", 10, 0, 0, -1, 9
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_view.dart", "Dart", 22, 0, 0, -1, 21
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_controller.dart", "Dart", 14, 0, 0, 1, 15
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_view.dart", "Dart", 23, 0, 0, 0, 23
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_controller.dart", "Dart", 10, 0, 0, -1, 9
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_view.dart", "Dart", 22, 0, 0, 0, 22
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_controller.dart", "Dart", 17, 0, 0, 1, 18
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_view.dart", "Dart", 19, 0, 0, 0, 19
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\user-vehicle\create\create_user_vehicle_controller.dart", "Dart", 0, 0, 0, 1, 1
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\user\create\create_user_controller.dart", "Dart", 9, 0, 0, -2, 7
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\vehicles\create\create_vehicles_controller.dart", "Dart", 5, 0, 0, 0, 5
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\utils\utils.dart", "Dart", 20, 0, 2, 1, 23
"Total", "-", 393, 2, 2, 0, 397